timestamp,window,true_hr,true_spo2
2026-04-16T18:32:58.803,1,82.0,99.0
2026-04-16T18:32:58.804,1,84.0,99.0
2026-04-16T18:32:58.804,1,83.0,99.0
2026-04-16T18:32:58.804,1,82.0,99.0
2026-04-16T18:32:58.804,1,79.0,99.0
2026-04-16T18:32:58.804,1,79.0,99.0
2026-04-16T18:32:58.804,1,77.0,99.0
2026-04-16T18:32:58.804,1,77.0,99.0
2026-04-16T18:32:58.804,1,77.0,98.0
2026-04-16T18:32:58.804,1,77.0,98.0
2026-04-16T18:32:58.804,1,80.0,98.0
2026-04-16T18:32:58.804,1,80.0,98.0
2026-04-16T18:32:58.804,1,81.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,83.0,98.0
2026-04-16T18:32:58.804,1,84.0,98.0
2026-04-16T18:32:58.804,1,84.0,98.0
2026-04-16T18:32:58.804,1,85.0,98.0
2026-04-16T18:32:58.804,1,86.0,98.0
